id,name,category,diocese,address,region,lat,lng
임당동-순례-성당-순교자-심능석-스테파노,임당동 순례 성당 (순교자 심능석 스테파노),순례지,춘천교구,강원특별자치도 강릉시 임영로 148 (임당동),강원,37.7542322235694,128.89240286547
전동성당,전동성당,성지,전주교구,전북특별자치도 전주시 완산구 태조로 51,전북,35.8132038044753,127.149574658463
전옥서-터,전옥서 터,순교사적지,서울대교구,서울특별시 종로구 청계천로 41 (서린동),서울,37.5696679696981,126.982179278549
전주숲정이성지,전주숲정이성지,순교사적지,전주교구,전북특별자치도 전주시 덕진구 공북로 19,전북,35.8254568282324,127.133471514756
전주옥터,전주옥터,순교사적지,전주교구,전북특별자치도 전주시 완산구 현무1길 20 한국전통문화의전당 후문,전북,35.8205463417058,127.148217143505
절두산-순교성지,절두산 순교성지,성지,서울대교구,서울특별시 마포구 토정로 6 (합정동),서울,37.5441354407025,126.911793575318
제물진두-순교-성지,제물진두 순교 성지,성지,인천교구,인천광역시 중구 제물량로 240 (항동),인천,37.4735583668325,126.618540405749
조씨-형제-순교자-묘,조씨 형제 순교자 묘,순교사적지,부산교구,부산광역시 강서구 생곡길26번길 9-19,부산,35.1298334715669,128.880613436947
종로성당-순례지,종로성당 (순례지),순례지,서울대교구,서울특별시 종로구 동순라길 8 (인의동),서울,37.571208437479,126.996647664814
좌포도청-터,좌포도청 터,순교사적지,서울대교구,"서울특별시 종로구 돈화문로 28 (묘동) 종로3가역 9번출구, 치안센터 앞",서울,37.5712443657225,126.992328395433
계산-주교좌성당,계산 주교좌성당,순례지,대구대교구,대구광역시 중구 서성로 10 (계산동2가),대구,35.8733228459425,128.587063058088
죽림굴-신앙-사적지,죽림굴 신앙 사적지,순교사적지,부산교구,울산광역시 울주군 상북면 억새벌길 200-78,울산,35.5432099425339,129.022506020448
죽림동-순교-성지,죽림동 순교 성지,성지,춘천교구,강원특별자치도 춘천시 약사고개길 21 (성직자 묘역 내),강원,37.8766141656542,127.726564978814
죽산성지,죽산성지,성지,수원교구,경기도 안성시 일죽면 종배길 115,경기,37.0749704756217,127.449403592883
중림동-약현성당-순례지,중림동 약현성당 (순례지),순례지,서울대교구,서울특별시 중구 청파로 447-1 (중림동),서울,37.5591934088751,126.966980133221
지석리성지,지석리성지,순교사적지,대전교구,충청남도 부여군 충화면 지석리 368-1,충청남,36.1869085872077,126.802463138515
진목정-성지,진목정 성지,순교사적지,대구대교구,경상북도 경주시 산내면 수의길 192,경상북,35.7530509120762,129.07607164538
진무영-순교-성지,진무영 순교 성지,성지,인천교구,인천광역시 강화군 강화읍 북문길 41,인천,37.7505202176429,126.484822205339
진산성지,진산성지,순교사적지,대전교구,충청남도 금산군 진산면 실학로 207,충청남,36.1801322824369,127.353464939589
진안리-성지,진안리 성지,순교사적지,안동교구,경상북도 문경시 문경읍 새재로 600,경상북,36.7371455940123,128.090755903722
